type	conf	expFolder	map	expNumber	targetFound	exploredArea	takeoffsCount	actionsTotal	actionsCount	actionSequence
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16B	6	1	100.0	3	46	[1, 1, 32, 11, 1]	[2, 2, 2, 2, 2, 3, 1, 2, 3, 2, 2, 2, 4, 2, 2, 3, 2, 3, 2, 3, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 3, 3, 0, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16B	7	1	100.0	4	54	[5, 1, 39, 8, 1]	[0, 3, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 0, 2, 2, 3, 2, 3, 2, 4, 2, 2, 2, 2, 2, 2, 2, 3, 2, 0, 2, 2, 2, 2, 0, 2, 2, 3, 1, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16B	8	1	25.61	0	70	[4, 0, 50, 16, 0]	[3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 3, 0, 2, 3, 3, 2, 3, 0, 3, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 3, 2, 2, 3, 3, 0, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16B	9	1	100.0	6	67	[5, 2, 46, 13, 1]	[2, 2, 0, 3, 3, 0, 2, 2, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 3, 0, 2, 3, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 0, 2, 0, 3, 3, 2, 2, 2, 3, 2, 2, 2, 3, 3, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16B	10	0	0.0	0	70	[6, 2, 48, 11, 3]	[3, 2, 0, 2, 1, 2, 2, 2, 2, 2, 2, 3, 0, 2, 2, 2, 2, 2, 0, 2, 4, 2, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 0, 1, 3, 2, 3, 2, 2, 3, 2, 2, 2, 0, 2, 4, 2, 2, 2, 4, 2, 0, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16B	11	0	0.0	0	71	[1, 0, 56, 13, 1]	[2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 4, 2, 2, 0, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16BD	0	1	100.0	6	55	[3, 0, 39, 10, 3]	[2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 4, 2, 3, 2, 3, 2, 2, 2, 2, 3, 2, 2, 0, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 3, 2, 2, 0, 2, 2, 4, 2, 2, 4, 2, 2, 2, 3, 2, 0, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16BD	1	1	100.0	0	46	[2, 0, 31, 12, 1]	[2, 2, 2, 0, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 3, 2, 4, 2, 2, 2, 3, 3, 2, 3, 2, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16BD	2	1	100.0	3	38	[0, 3, 31, 3, 1]	[3, 2, 4, 2, 1, 2, 2, 1, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16BD	3	1	100.0	2	54	[3, 1, 38, 10, 2]	[2, 2, 4, 2, 3, 2, 3, 2, 2, 1, 2, 2, 2, 3, 2, 2, 2, 2, 2, 0, 3, 2, 2, 2, 0, 2, 2, 2, 3, 2, 2, 3, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 3, 2, 0, 3, 2, 2, 3, 2, 2, 3, 2, 2]
